"","state.name","date","total.pop","confirmed.case","new.deaths","ICU","newICU","ICUover","Ventilator","smoothed.confirmed","smoothed.deaths","confirmed.case.rate","new.deaths.rate","ICU.rate","newICU.rate","ICUover.rate","Ventilator.rate"
"3203","Idaho",2020-06-25,1735118.899,220,0,2.894455171,0.423857313,0,2.634522205,199.505740441478,0.267726257871708,14.0153778923656,0.0234077140698154,0.0430740460000001,0.023527941,0,0.0466967149999999
"3204","Idaho",2020-06-26,1735118.899,283,0,2.970303723,0.455276692,0,2.713094193,214.433365711432,0.286403187688333,14.9276252699545,0.0186769298166248,0.0758485519999996,0.031419379,0,0.0785719879999998
"3205","Idaho",2020-06-27,1735118.899,174,1,3.085294162,0.495745711,0,2.829455497,229.487632923628,0.277257713476972,15.0542672121962,-0.00914547421136108,0.114990439,0.040469019,0,0.116361304
"3206","Idaho",2020-06-28,1735118.899,NA,NA,3.246505904,0.54662461,0,2.990198331,244.048697596743,0.244340305025015,14.5610646731142,-0.0329174084519571,0.161211742,0.050878899,0,0.160742834
"3207","Idaho",2020-06-29,1735118.899,430,0,3.461832482,0.609515137,0,3.202705912,259.030008563464,0.221388481926112,14.9813109667212,-0.0229518230989033,0.215326578,0.0628905270000001,0,0.212507581
"3208","Idaho",2020-06-30,1735118.899,365,1,3.74014717,0.686276886,0,3.475319837,275.345014656481,0.242139763773912,16.315006093017,0.0207512818478001,0.278314688,0.076761749,0,0.272613925
"3209","Idaho",2020-07-01,1735118.899,253,0,4.091518976,0.779039719,0,3.817545157,294.741082693131,0.32672744538378,19.3960680366501,0.0845876816098682,0.351371806,0.092762833,0,0.34222532
"3210","Idaho",2020-07-02,1735118.899,223,0,4.527385395,0.890187303,0,4.240205819,316.875291011435,0.451366643250449,22.1342083183038,0.124639197866669,0.435866419,0.111147584,0,0.422660662
"3211","Idaho",2020-07-03,1735118.899,401,1,5.060625203,1.022275094,0,4.755499012,339.525655725106,0.583917609486622,22.650364713671,0.132550966236172,0.533239808,0.132087791,0,0.515293193
"3212","Idaho",2020-07-04,1735118.899,376,0,5.705401645,1.177879866,0,5.376821294,360.470192947858,0.692240596204999,20.9445372227521,0.108322986718377,0.644776442,0.155604772,0,0.621322282
"3213","Idaho",2020-07-05,1735118.899,363,NA,6.476809339,1.359437985,0,6.118401532,378.818119147552,0.755382294277931,18.3479261996942,0.0631416980729324,0.771407694,0.181558119,0,0.741580238
"3214","Idaho",2020-07-06,1735118.899,319,1,7.390288735,1.569031908,0,6.994708681,395.829515847256,0.798792906844281,17.011396699704,0.04341061256635,0.913479396,0.209593923,0,0.876307149
"3215","Idaho",2020-07-07,1735118.899,487,0,8.460807589,1.80815833,0,8.019637942,412.508696743493,0.859937954416522,16.6791808962366,0.0611450475722403,1.070518854,0.239126422,0,1.024929261
"3216","Idaho",2020-07-08,1735118.899,430,4,9.701887882,2.077556207,0,9.2055538,429.859975532785,0.976282957507124,17.3512787892922,0.116345003090603,1.241080293,0.269397877,0,1.185915858
"3217","Idaho",2020-07-09,1735118.899,460,2,11.12457467,2.377066216,0,10.56228782,450.680773694365,1.16345300290913,20.8207981615803,0.187170045402005,1.422686788,0.299510009,0,1.35673402
"3218","Idaho",2020-07-10,1735118.899,500,1,12.73641845,2.70549124,0,12.09616125,474.444034688812,1.38922741177778,23.7632609944465,0.225774408868649,1.61184378,0.328425024,0,1.53387343
